word,occurrence,day
favor,3.0169768579071387e-05,207.0
route,3.0059506389079616e-05,1425.0
truly,2.9708928013860714e-05,1306.0
fruit,2.9633993726747576e-05,2014.0
trend,2.958885255793576e-05,1859.0
panel,2.949090612673899e-05,66.0
dated,2.94499282972538e-05,
files,2.9328099226404448e-05,
aside,2.912819101766217e-05,192.0
holds,2.901926116464892e-05,
waves,2.899834289564751e-05,
empty,2.899304017773829e-05,1379.0
rooms,2.8771679462806788e-05,
hence,2.8634774207603186e-05,2247.0
quick,2.847439671313623e-05,603.0
heads,2.8472412304836324e-05,
worse,2.839959561242722e-05,1830.0
rocks,2.838649077602895e-05,
cells,2.8363597853192218e-05,
roles,2.8075128138880245e-05,
coast,2.8074959554942325e-05,140.0
ships,2.806929995131213e-05,
plays,2.8061088487447703e-05,
drink,2.8056374467269053e-05,206.0
sharp,2.7957588790741284e-05,1426.0
faced,2.7844637552334463e-05,
acute,2.771924762782873e-05,190.0
enjoy,2.7623475798463914e-05,500.0
draft,2.7373686116334283e-05,1315.0
dream,2.736991249548737e-05,527.0
chest,2.730097414314514e-05,281.0
quiet,2.716140978009207e-05,16.0
texts,2.712463865464088e-05,
logic,2.68365458396147e-05,1341.0
argue,2.683506547327852e-05,73.0
video,2.66564261437452e-05,1909.0
solar,2.662317081558285e-05,211.0
vital,2.662061098817503e-05,178.0
acted,2.648669244973252e-05,
risks,2.643690171680646e-05,
begun,2.643170751980506e-05,859.0
supra,2.6377715012131376e-05,
flows,2.613073662359966e-05,
virus,2.61017545562936e-05,2101.0
turns,2.5946207861125e-05,
cents,2.5791733765013503e-05,
fault,2.56852913662442e-05,515.0
shock,2.563793801527936e-05,549.0
cited,2.561698348874695e-05,
arise,2.546794588852208e-05,560.0
treat,2.5388689755345696e-05,443.0
crops,2.528996854380239e-05,
laser,2.5272435013903305e-05,
fifty,2.5267082746722737e-05,1740.0
print,2.520389993151184e-05,61.0
armed,2.5193984838376937e-05,
catch,2.510137881472474e-05,506.0
theme,2.4893143890949432e-05,466.0
